"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20130101 ~ 20131231"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강남구 개포동","1172-2","1172","0002","(1172-2)","42.15","24.67","201304","26","25,000","3","2012","논현로6길 22-6",""
"서울특별시 강남구 개포동","1172-2","1172","0002","(1172-2)","42.15","24.67","201306","4","25,000","3","2012","논현로6길 22-6",""
"서울특별시 강남구 개포동","1172-2","1172","0002","(1172-2)","42.15","24.67","201310","25","24,500","2","2012","논현로6길 22-6",""
"서울특별시 강남구 개포동","1216-4","1216","0004","(1216-4)","37.18","23.86","201302","13","27,800","5","2012","개포로26길 16",""
"서울특별시 강남구 개포동","1216-4","1216","0004","(1216-4)","35.87","23.02","201304","26","26,500","3","2012","개포로26길 16",""
"서울특별시 강남구 개포동","1205-1","1205","0001","W하우스","51.69","31.15","201309","25","41,000","5","2012","개포로26길 20",""
"서울특별시 강남구 개포동","1205-1","1205","0001","W하우스","46.29","27.89","201312","16","40,000","5","2012","개포로26길 20",""
"서울특별시 강남구 개포동","1205-1","1205","0001","W하우스","55.13","33.21","201312","16","37,700","3","2012","개포로26길 20",""
"서울특별시 강남구 개포동","1205-1","1205","0001","W하우스","55.13","33.21","201312","20","37,500","4","2012","개포로26길 20",""
"서울특별시 강남구 개포동","1205-1","1205","0001","W하우스","55.13","33.21","201312","24","37,500","3","2012","개포로26길 20",""
"서울특별시 강남구 개포동","1252-1","1252","0001","건양빌리지","139.5","70","201311","11","59,000","4","1991","개포로25길 27",""
"서울특별시 강남구 개포동","1202-2","1202","0002","경모하이츠","51.69","21.2","201303","13","20,500","3","1991","개포로22길 41-6",""
"서울특별시 강남구 개포동","1235-16","1235","0016","광현빌라","50.22","27.63","201309","3","28,000","2","2001","논현로18길 10-13",""
"서울특별시 강남구 개포동","1261-8","1261","0008","금광","43.26","21.09","201311","4","19,950","1","1992","개포로31길 9-6",""
"서울특별시 강남구 개포동","1219-9","1219","0009","금풍빌라","50.07","47.4","201304","30","32,000","2","1988","개포로20길 39",""
"서울특별시 강남구 개포동","1219-9","1219","0009","금풍빌라","50.07","47.4","201309","25","34,300","1","1988","개포로20길 39",""
"서울특별시 강남구 개포동","1219-8","1219","0008","금호빌","42.66","23.19","201307","1","19,800","4","1997","개포로20길 43",""
"서울특별시 강남구 개포동","1216-8","1216","0008","노블레스(1216-8)","58.17","27.88","201308","3","32,700","4","2006","개포로24길 11",""
"서울특별시 강남구 개포동","1184-21","1184","0021","뉴아트빌라","67.62","40.17","201312","11","29,000","4","1997","논현로8길 29",""
"서울특별시 강남구 개포동","1188-3","1188","0003","다세대","75.58","35.64","201303","18","33,000","2","2001","논현로8길 18",""
"서울특별시 강남구 개포동","1202-8","1202","0008","다세대주택","58.17","25.52","201305","24","25,000","2","1993","개포로22길 45-15",""
"서울특별시 강남구 개포동","1202-8","1202","0008","다세대주택","48.03","21.26","201311","23","19,000","1","1993","개포로22길 45-15",""
"서울특별시 강남구 개포동","1226-6","1226","0006","대림아트빌2차","71.09","33.27","201305","23","38,000","2","2003","논현로16길 10-13",""
"서울특별시 강남구 개포동","1265-6","1265","0006","동산빌","48.32","23.58","201302","2","25,500","3","2004","개포로31길 29-3",""
"서울특별시 강남구 개포동","1164-29","1164","0029","동산빌라","44.93","20.03","201305","31","21,000","3","1996","논현로2길 63",""
